Generation,Fitness,P1_Queen,P1_King,P1_Ace,P2_Queen,P2_King,P2_Ace
0,-518400,1,0.795871219080115,0.659083557094081,0.766120386632659,0.762853486233281,1
1,-230400,1,1,1,0.974644279997537,0.973859366948689,0.978481475916726
2,-883600,0.963398304124262,0.744544945955024,0.298016095340941,0.622935967295531,0.407104241738661,0.997687240535273
3,-490000,1,0.795916067701975,1,1,1,0.732111884217189
4,-32400,1,0.956389978126776,0.199585181888042,0.748490863537834,0.465123926929394,0.993936555487825
5,-313600,0.85760256515825,0.595748657627958,1,0.725816738083507,0.771921435468593,0.573130492017577
6,-176400,0.850959062552177,0.902491938076686,0.161904102859665,0.705444465796733,0.598337667216944,0.928733216099498
7,-270400,0.872052015747574,0.636657042711181,0.994270808383726,0.80735405944293,0.436018197544151,0.362137946957226
8,-193600,0.77120423332561,0.935912382783309,0.106883948771057,0.724324436962616,1,0.95026007330818
9,-115600,0.826296626605458,0.735166709443901,0.811621183954319,0.791274535650674,0.394601278633915,0.528184227636478
10,-10000,1,0.511480877475094,0.436364214015577,0.517565028699958,0.659269101509728,1
11,-102400,0.570494612983725,0.952214315877664,0.833557598420125,0.741070012383758,0.378142443837283,0.604386471557698
12,-490000,0.940187718656811,1,0.467569811083582,0.187479576927693,1,0.646389425220806
13,-547600,0.451148878429352,1,0.954963582222444,0.407669606000912,0.643431650795885,0.841256277471247
14,-78400,1,0.524792897711595,0,0.273491501064734,1,0.66929212378152
15,-19600,0.13161126414649,1,1,0.143767459429496,1,0.698710484920823
16,-313600,1,0.0699861953798876,0.238029051189881,0,0.682270409303131,0.899166135809884
17,-115600,0.295430177592671,1,1,0.320933702875712,1,0.707065950224842
18,-14400,1,0.285455568308419,0.386464790402731,0.103128427214675,0.897762534070025,0.843230075612156
19,-291600,0.15354880565328,0.81645740068604,0.785661126125498,0.60963244048584,1,0.411435456938338
20,-490000,0.671114501930581,0.420643002387716,0.820122326272363,0.216791315110401,0.687092952860134,0.825803451707815
21,-176400,0.273726365304834,0.513454480135787,0.660013199643143,0.567645705989097,0.962268148615301,0.388364752994918
22,-48400,0.520162211033363,0.905970083925868,0.321951368661112,0.294168163239305,0.883324170181287,1
23,-577600,0.183247385826194,0.945203803420693,0.535010517681247,0.670751804011241,0.855859289557135,0.495846179691613
24,-384400,0.758731699606365,1,0.423082510893765,0.164269063679593,0.308010130590941,0.861701659472417
25,-435600,0.176923938881647,0.84303955830154,0.739816826715484,0.311384405532388,1,1
26,-32400,0.783265103206241,1,0.191628648685336,0.356333523669412,1,0.976146864342442
27,-435600,0,0.779933957158448,0.907828855491368,0.628987022868573,1,0.828156476029096
28,-250000,0.534797497458498,0.385462904055337,0,0.71466991485301,1,0.817403868358096
29,-57600,0,0.742775061540074,0.872589464003988,0.377794167179763,0.894266245005298,0.895362604756861
30,-48400,0.843774919955059,0,0.145104187901868,0.616429606464523,0.848768381271769,1
31,-846400,0,0.430675511441739,0.798058936774798,0.162186327264694,0.972424756538147,0.915519868365569
32,-144400,0.692347382356451,0.173384256809781,0.221040704194177,0.353182234044163,0.889139381144635,1
33,-291600,0,0.65492644135149,0.899715937175492,0.272157926001416,1,1
34,-40000,1,0,0.254953223396327,0,0.712458927841577,0.825570525255916
35,-518400,0.0786812516843326,0.663722326685621,0.901176668480844,0.138426754658962,1,1
36,-102400,0.709612495527262,0.199040151663658,0.0062309793230077,0,1,0.232344759789338
37,-211600,0.128318812500634,0.343783137933369,0.912271923324022,0,0.773205039843729,1
38,-115600,0.574291489585775,0,0,0.0390601526688734,0.790512704371697,0
39,-160000,0,0.371619086119917,0.876215519669601,0,0.955254202954214,1
40,-115600,0.500282677608464,0,0.00805445081909834,0.155966444148594,0.816070677845423,0.0464456180265031
41,-25600,0,0.2516840493315,1,0,0.89923829277415,1
42,-129600,0.593185010315015,0,0,0.433120346482456,0.882994072735296,0.651799610115853
43,-230400,0,0.116525100828352,1,0.191060201191235,0.905175981936004,0.752402017602766
44,-129600,0.853372428553806,0,0.3787991108022,0.111579639685945,1,0.816692889017307
45,-129600,0,0.170433715124577,1,0.152368686674343,0.863070677482387,0.962585852346246
46,-25600,0.758165002569606,0,0.242827576489547,0,0.764150685646423,0.852887818481795
47,-102400,0,0.254382027121705,0.707292486709938,0.0104731408109752,0.914557918018471,0.699655705724998
48,-547600,0.860227361621635,0.144592721278201,0.199852126440441,0.042802805875386,0.837523846656396,0.733430639775887
49,-250000,0.330753861802108,0.370389991248926,0.760707108902184,0,0.67064248307147,0.759044278348088
50,-270400,0.588514244875395,0.110235820688875,0.357679223115225,0.233375025007468,0.754638035519307,0.6133162996934
51,-462400,0.397352049200488,0.30046049763614,1,0.146433708471624,1,0.68786637390546
52,-67600,0.23774963894672,0.0542088009303233,0.453965456398947,0.204116210153358,0.394871572229973,0.697777645582245
53,-40000,0.475563925706175,0.846308933890923,1,0.246061429577166,0.945257624447693,0.646105830838818
54,-19600,0.358365334484775,0.153862204897306,0.528103657637798,0,0.504738089315038,0.583675003479854
55,-409600,0.384937832869571,0.367019300295218,1,0.158175392080644,0.650777573889754,0.352646194009958
56,-25600,0.348027712933379,0.0637304977537183,0.513384655131276,0,0.369172009544375,0.783467957094873
57,-313600,0.244623523890415,1,0.744757206197313,0.500010344464214,0.49552390102891,0
58,-435600,0.23913617529061,0.286276909259725,0.599464560075211,0,0.636897232771919,0.700928938234447
59,-129600,0,0.989533505902166,0.819572435844321,0.602884463386064,0.371732967826737,0
60,-360000,0,0.674474408777082,0.303665104180127,0.162867949226926,0.435738969238079,0.98654108727668
61,-435600,0.313492533914701,0.784570277903342,0.79901542597845,0.272173565257659,0.289846818677135,0
62,-32400,0.130399829959728,0.286208818509345,0.109289148915942,0.515198548363298,0.17589623578486,1
63,-19600,0.41149518615395,0.641659306384351,0.805886097346985,0.302894696039915,0.440565186481383,0.221675936551571
64,0,0.257943056885777,0.45360786564953,0,0.797814118525876,0.292359929553765,0.764633109118047
65,-313600,0.110898856436695,0.830869013916708,0.768023131938204,0.518067805325436,0.152545635219121,0.787263314027244
66,-90000,0.495191045514338,0.643711716789584,0.0662652164024559,0.608786997405798,0,0.99244679816014
67,-577600,0.395923292690809,0.921538494988088,0.865081412406316,0.497236593004327,0.363395564115065,0.599781007621955
68,-78400,0.736129329368311,0.281820084023677,0.309915660031451,0.385437169511901,0,0.952821490297508
69,-230400,0.215707881856691,0.946779062450182,0.939115529439096,0.177543657505385,0.322509093755621,0.723780594665996
70,-336400,0.567462944541957,0.4072904870732,0.0850412565218341,0.183531925649225,0.13470312117707,0.560175510919131
71,-90000,0,0.881811138731734,1,0.492684547459512,0.476757581316347,0.716864359131319
72,-1081600,0.278035299552192,0.380514262481664,0.851130071496759,0.195809053446704,0.10859320307724,0.715840184629917
73,-409600,0,0.901919074317618,0.846181717560662,0.046504090441885,0.536189172987292,0.58432932000799
74,-40000,0.304408554135853,0.200947188112452,0.925459921204207,0.0619870637557314,0.21861928052231,0.512734669708273
75,-1345600,0,0.810070870750146,0.723245366754512,0.467195695124074,0.762850892120878,0.375140388796499
76,-384400,0.507095065871488,0.374436085579482,0.641704078679918,0,0.151340734000251,0.913770359572102
77,-490000,0.307196316961936,0.965826530673912,0.632743135082533,0.40949765721435,0.810818336474417,0.287123655641602
78,0,0.391789959524424,0.433797426658852,0.743137778475338,0.0483269555313323,0.183061241873588,0.855075674457943
79,-810000,0.436089188391688,1,0.811515690826604,0.26557019327576,0.548319116258893,0.384147161029586
80,-25600,0.682203133942337,0.0940250950605033,1,0.0409404086117537,0.0575776270982437,1
81,-360000,0.411372321100795,0.624159671807245,0.883306731851577,0,0.890711257040463,0.660361162698556
82,-547600,0.464722530759607,0.113479251932831,0.794804550364212,0.303132709998614,0,0.679048633382503
83,-10000,0.429153493924467,0.361371761693205,0.64989675868429,0.134281569361179,1,0.514333458570224
84,-211600,0.339066977648839,0.0462415745816856,0.970324858165769,0.565923111596252,0,0.900270056761124
85,-250000,0.637920448447152,0.399173461271935,0.716481381523457,0.309361454776729,1,0.933840977147594
86,0,0.413271658357536,0.285226163149982,1,0.831905559703658,0,0.947542095849426
87,-384400,0.254777744284376,0.236389050912459,0.464438785573214,0.692953578457109,1,0.676707588333025
88,-25600,0.656617098717528,0.41102233275766,1,0.699866101794958,0,0.229902028639186
89,-3600,0.395796475529013,0.202995942372464,0.554867141283452,0.799094604924871,1,1
90,-1081600,0.917370893796802,0.523268684047295,0.690590894000558,0.852897941270228,0,0.168707460279659
91,-313600,0.21829616219514,0.33624363202743,0.423233786343416,0.884424956706522,0.77843182892276,0.904525467150622
