Generation,Fitness,P1_Queen,P1_King,P1_Ace,P2_Queen,P2_King,P2_Ace
0,-6198.8,0.788637364486189,1,0.99322896918651,0.905520782479375,1,1
1,-1777.90099009901,1,0.781300178450291,1,0.604486230468259,1,1
2,-1423.24752475248,0.598921066003338,1,1,0.586424635653312,0.990504933305929,0.945863946895808
3,-7212.86274509804,0.598921066003338,1,1,0.586424635653312,0.990504933305929,0.945863946895808
4,-16753.3465346535,0.344167230503538,1,1,0.581904011909692,0.987799316083335,0.856790302853857
5,-4392.64,0.594157741468519,0.946807010852924,0.969072546266135,0.491693099727181,0.96604133156037,1
6,-4237.10891089109,0.511696510393018,0.780119442660311,1,0.316520752258762,1,1
7,-8621.84,0.0779435702382935,0.0496475630578534,0.535637876454833,0.170832528736632,1,0.823900240250663
8,-3404,0.267138835469225,1,1,0.301620644998614,0.945217568022275,1
9,-2911.40594059406,0.390861048330316,0.762112058801357,1,0.134039832593625,0.95456309746587,0.984153118790173
10,-4828,0.107807343269729,0,0.392777706905544,0.136602469608827,0.911320138669136,0.983245474883073
11,-1676.82474226804,0,1,1,0,1,0.978398605493812
12,-6780.96153846154,0.0677242845822637,0.0871757917819492,0.621703215872236,0.1746965948429,1,1
13,-5099.8,0.204885966290782,0.0774891689794334,1,0,0.863795695855062,0.950879346596495
14,-3659.9603960396,0,0.0416969437930781,1,0.0325682934548985,0.784692268520222,0.9616070482125
15,-686.95145631068,0,0,1,0,0.677473558015146,1
16,-661.584158415842,0,0,1,0,0.677473558015146,1
17,-1269.4953271028,0,0,1,0,0.677473558015146,1
18,-4933.16,0.0202581462992165,0,1,0,0.543880392026126,1
19,-2594.77227722772,0.0963742073333874,0.0561984030155824,1,0,0.363796359914504,1
20,-4711.72,0.0963742073333874,0.0561984030155824,1,0,0.363796359914504,1
21,-4952.07920792079,0,0,0.892176567549149,0.0314811672989989,0,0.850701979669565
22,-11220.64,0.337683612705096,0,1,0,0.361533500878402,0.881142796042475
23,-10099.36,0,0.0882474194639743,1,0,0.00664487395541002,1
24,-6497.66336633663,0,0,1,0.0391424692702454,0,1
25,-19792.932038835,0.337683612705096,0,1,0,0.361533500878402,0.881142796042475
26,-20632.9019607843,0.0963742073333874,0.0561984030155824,1,0,0.363796359914504,1
27,-5394.53465346535,0,0.0882474194639743,1,0,0.00664487395541002,1
28,-14585.3861386139,0,0.0657104376170615,0.949130613529547,0,0.0548241723519431,1
29,-10749.4339622642,0.327401396223803,0,1,0,0.191527194651253,1
30,-13717.1485148515,0.327401396223803,0,1,0,0.191527194651253,1
31,-19040.8316831683,0.569372464339806,0,1,0,0.617083961204499,1
32,-8354.32,0.408637585401755,0,1,0,0.474902069344989,1
33,-15078.4,0.408637585401755,0,1,0,0.474902069344989,1
34,-7613.30693069307,0.408637585401755,0,1,0,0.474902069344989,1
35,-10335.3644859813,0.408637585401755,0,1,0,0.474902069344989,1
36,-10225.36,0.408637585401755,0,1,0,0.474902069344989,1
37,-16299.7009345794,0.327401396223803,0,1,0,0.191527194651253,1
38,-17557.88,0.327401396223803,0,1,0,0.191527194651253,1
39,-9539.72815533981,0.408637585401755,0,1,0,0.474902069344989,1
40,-12312.2641509434,0.408637585401755,0,1,0,0.474902069344989,1
41,-7667.64,0.408637585401755,0,1,0,0.474902069344989,1
42,-10937.3861386139,0.408637585401755,0,1,0,0.474902069344989,1
43,-6131,0.0548250298116494,0,1,0,0.432589327011852,1
44,-13670.0952380952,0.22596227636734,0,1,0,0.396812769424801,1
45,-16329.44,0.22596227636734,0,1,0,0.396812769424801,1
46,-11767.7692307692,0.453163456511452,0.0038502791375968,1,0,0.398916569528878,1
47,-9639.92,0.22596227636734,0,1,0,0.396812769424801,1
48,-9072.92,0,0,1,0,0.187130169766155,1
49,-8321.12621359223,0.324897294242711,0,0.996408627263236,0,0.296872896779074,1
50,-10310.3300970874,0,0,1,0,0.187130169766155,1
51,-9533.52,0.324897294242711,0,0.996408627263236,0,0.296872896779074,1
52,-14288.08,0.296242726373041,0,1,0,0.16796438329532,1
53,-10051.0495049505,0.324897294242711,0,0.996408627263236,0,0.296872896779074,1
54,-9027.9603960396,0.324897294242711,0,0.996408627263236,0,0.296872896779074,1
55,-4436.79207920792,0.296242726373041,0,1,0,0.16796438329532,1
56,-10870.6274509804,0.296242726373041,0,1,0,0.16796438329532,1
57,-12313.3725490196,0.324897294242711,0,0.996408627263236,0,0.296872896779074,1
58,-9121.44,0.285369416132105,0,1,0,0.141017360743595,1
59,-8487.0495049505,0.324897294242711,0,0.996408627263236,0,0.296872896779074,1
60,-7911.8,0.453163456511452,0.0038502791375968,1,0,0.398916569528878,1
61,-8933.74257425743,0.343642192643239,0.00976924850249229,0.931438994593883,0,0.407566085319011,1
62,-7587.60784313726,0.266031762994437,0,1,0,0.492203494979068,1
63,-10810.2178217822,0.296242726373041,0,1,0,0.16796438329532,1
64,-15089.504950495,0.304530573854827,0.0111333740678616,1,0,0.458960282174089,1
