Generation,Fitness,P1_Queen,P1_King,P1_Ace,P2_Queen,P2_King,P2_Ace
0,-5669.51450672141,0.562530737545301,1,1,0.899444618952846,1,1
1,-2755.43532698159,0.48308704895683,0.842874653644986,1,0.629794921859847,0.847667041793617,1
2,-2061.53340482306,0.721372912533876,0.757835871525,1,0.289971863148873,1,1
3,-4891.47081261674,0.357591704135614,0.974419610680597,1,0.517744955918349,0.848510601983401,1
4,-4275.32883220805,0.283584191765764,0.996227148088353,1,0.282827884011091,1,0.980877915907118
5,-582.124389027431,0,0.664758269270118,0.84888784625813,0.18948449350214,0.898416168566632,0.99608769775488
6,-772.030724724425,0,0.524030651991297,0.887449125715363,0.0575660629614952,0.731722183895003,1
7,-3315.96392795583,0.0712144042118663,0.562078437927131,1,0,0.776955040923681,1
8,-779.538396308767,0.0473288262549043,0,1,0.17853822235052,0.740042501187347,1
9,-2718.7861951598,0.113991110611624,0.0327235504696202,1,0,0.7948722787982,1
10,-2717.93610813237,0.113991110611624,0.0327235504696202,1,0,0.7948722787982,1
11,-2896.88750464857,0,0,1,0,0.930102292066208,0.953038461183857
12,-2887.18245943222,0.113991110611624,0.0327235504696202,1,0,0.7948722787982,1
13,-2728.59713733686,0.0952717213481493,0,1,0.00626593983291904,0.803886664532316,1
14,-2301.27712082262,0.103085003688336,0,0.762635865092371,0,0.744969233329097,1
15,-2324.39031517429,0.19677354091588,0,0.820449427583879,0,0.437826500881555,1
16,-1365.80113338493,0.141908227925717,0,0.9991484987273,0,0.21321951883849,1
17,-1722.18232623123,0.141908227925717,0,0.9991484987273,0,0.21321951883849,1
18,-2356.10534653465,0.0027575331619431,0,0.986664884389838,0,0.0314121973398114,1
19,-2325.6239511823,0.284793358689884,0,1,0,0.258302049299239,1
20,-2579.59833068656,0.351869444081369,0,0.930810842877113,0,0.0582725467444978,1
21,-2588.58901098901,0.483936849470073,0,0.897338545784025,0.0983751348395644,0.173283079516818,0.96866901264741
22,-2583.76416138445,0.446631548121098,0,0.908388924079824,0,0.502813484441616,1
23,-2203.69362714411,0.276272709754216,0,0.930834601046277,0,0,1
24,-2537.90225536426,0.276272709754216,0,0.930834601046277,0,0,1
25,-2269.68839634941,0.527148487649444,0.00785793069120039,1,0,0.366812145487527,0.934781719525253
26,-2337.97611630322,0.222214449311412,0,1,0,0.259212500744158,1
27,-2197.95641907039,0.276272709754216,0,0.930834601046277,0,0,1
28,-2479.53152637454,0.277842678982859,0,1,0,0.301202114566647,1
29,-2556.90353334727,0.349543625217428,0,0.825324384635537,0.0154992442602153,0.112449147010826,0.985454892538804
30,-2451.33535762483,0.222214449311412,0,1,0,0.259212500744158,1
31,-2476.16923581502,0.35679011759131,0,1,0,0,1
32,-2527.87378640777,0.359493074738284,0,1,0,0.000214006631209645,1
