Generation,Fitness,P1_Queen,P1_King,P1_Ace,P2_Queen,P2_King,P2_Ace
0,-1571.22918466343,0.544697769694704,0.593883242272178,1,0.795646267278251,1,1
1,-1471.00538241744,0.544697769694704,0.593883242272178,1,0.795646267278251,1,1
2,-4493.326910299,0.695324837818985,1,0.972526876389393,0.3014865102506,0.738895538700448,1
3,-3156.71665393176,0.544580427509516,0.53947376672316,0.982575089682093,0.260870260422891,1,0.998727582901706
4,-1135.80049179238,0.483807653125906,0.558056125046521,1,0.0440190366273157,0.966118934344097,1
5,-2201.46940945798,0.483807653125906,0.558056125046521,1,0.0440190366273157,0.966118934344097,1
6,-3824.99370399929,0.483807653125906,0.558056125046521,1,0.0440190366273157,0.966118934344097,1
7,-3680.5742273014,0.0708791302057441,0.484024530865045,1,0.199811360083869,0.584372385137567,0.862633265341887
8,-3559.63565062389,0.0708791302057441,0.484024530865045,1,0.199811360083869,0.584372385137567,0.862633265341887
9,-3163.30620175393,0.0627883703480782,0.493792338480058,0.78086837251189,0.264657768684435,0.773918781404266,1
10,-3342.3919427433,0.471686484722905,0.186782125754982,0.765323915195517,0,0.461596805848161,0.903837386469928
11,-2982.37440717427,0.0852251193494454,0.258907589146645,0.897922930047624,0,0.663863779107181,0.849647762609677
12,-2798.84758068086,0.0843987133987191,0.0940876096770467,0.597181001698402,0,0.366666381540085,1
13,-2684.74206520655,0.226009336245584,0.0258008912789923,1,0,0.0800547169519467,0.953051223057856
14,-2639.00505603336,0.180403392329573,0.170205653425648,0.972060972502158,0.0351955370836582,0.662659652081631,1
15,-2645.17508487494,0.406171215728682,0,0.908549308339838,0,0.600345547109805,1
16,-2720.48640915594,0.503499617611471,0,0.990605099622755,0,0.59722934972854,1
17,-2387.9562122024,0,0,0.984438396783306,0,0.288044113296363,1
18,-2478.18351829988,0,0,0.984438396783306,0,0.288044113296363,1
19,-2330.70131233596,0.310990529072916,0.176653085004918,0.6580825506609,0,0.0661875621481572,0.923752082581887
20,-2524.13252236136,0.212382933000802,0.21613999387978,1,0,0.0777385893092588,1
21,-1534.18809980806,0.303247331001679,0,0.853584446546387,0,0,0.900995297225203
22,-1878.48959928297,0.0688283359835984,0,0.977380185052394,0.0642218762823961,0,1
23,-2476.09356725146,0,0,0.939664270120409,0,0,1
24,-2299.58840022431,0,0,1,0,0,1
25,-2430.88631015175,0.428558969469184,0.0305640901806124,1,0,0.0992874207805925,1
26,-2393.73681200229,0.404728922224422,0,1,0,0,1
27,-2163.56310351306,0.24362335884849,0.012402412301695,1,0,0.101593317825804,1
28,-2468.12303210264,0.409814147222569,0,1,0,0,1
29,-1982.87939698492,0,0.00317664233333733,0.841691392226003,0,0.26965812653964,1
30,-2001.41809290954,0.585355748274184,0,0.960149946733714,0,0.1755259049119,1
31,-2403.81088435374,0.218956275236485,0,1,0,0.155450127772303,1
32,-2457.66018885166,0.409814147222569,0,1,0,0,1
33,-2348.00581421758,0.409814147222569,0,1,0,0,1
34,-2472.49867374005,0.349476899997562,0,0.963004228493118,0,0.255463065561834,1
35,-2262.15663124754,0.464804750046101,0,0.883204221886547,0,0.098959659856748,1
36,-2553.02325581395,0.299480150651859,0,0.962961240901021,0,0.232259671315696,0.971483194640105
37,-2004.25274882193,0.161913215971931,0.0859704708374468,1,0,0.0891382448366589,1
