Generation,Fitness,P1_Queen,P1_King,P1_Ace,P2_Queen,P2_King,P2_Ace
0,0.193163371625245,0.647475866709037,1,1,1,0.893670777659902,1
1,0.313441867426103,0.576038229677072,1,1,0.811696238948062,0.687325877169672,0.754931728576825
2,0.251823779675053,0.353746403359603,1,1,0.765167040103979,0.964617256255514,1
3,0.53275063861,0.346987135035476,0.870108387594453,0.941598270022552,1,0.661470355827578,0.759009816143267
4,0.409189288591294,0.511700397519743,1,1,1,0.79129328609511,0.750521442558884
5,0.448809879178068,0.297529779479319,1,1,1,0.956916411758176,0.743078448640206
6,0.498449251238338,0.297529779479319,1,1,1,0.956916411758176,0.743078448640206
7,0.478085930734347,0.194051093293104,0.992992529777467,1,0.630471600743881,1,0.478257514393208
8,0.5163936854312,0,1,1,0.815458156116764,1,0.48137224223565
9,0.516614732645379,0,1,1,1,0.762810667511593,0.596500997477418
10,0.595220884841782,0.0327146171954185,0.93102860204188,1,0.94454506839657,0.722632407773189,0.502665954778401
11,0.525454788513229,0.0664072891352505,1,1,0.197408350059705,1,0.146522891964686
12,0.555091271266141,0.0327146171954185,0.93102860204188,1,0.94454506839657,0.722632407773189,0.502665954778401
13,0.494820744897695,0,1,1,0.301295855169828,0.894538924891641,0.235684124287084
14,0.408741684972687,0,1,0.997306324064939,0,0.974034471579709,0.96668801203205
15,0.648968755762398,0.2467078675238,1,0.980405290953982,1,1,0.536701165386885
16,0.512494242164706,0,1,1,1,1,0.655605812370781
17,0.645728818493686,0.0922056947311172,1,1,0.799141141101604,0.92471276538931,0.494222659289372
18,0.458431407373461,0,0.865954708914048,1,0.712056129542245,0.560778708629279,0.45480323172434
19,0.476653806431926,0.103505980660198,0.969312051404351,0.96006893629723,1,0.719686248266457,0.571773078974908
20,0.520084206179106,0.0922056947311172,1,1,0.799141141101604,0.92471276538931,0.494222659289372
21,0.488440728692407,0,0.920129649861752,1,0.603239985523225,0.69138242233238,0.38147949905439
22,0.801596554304042,0.2626401775542,0.976388377727012,1,0.719648958991765,0.969547538615254,0
23,0.474878980613966,0.0164751434081349,0.928605974044235,1,1,0.421028824719531,0.617126392170257
24,0.70767564698404,0,0.984898307032548,1,0.846471224504513,0.981027982878746,0.441613428041378
25,0.520953280772038,0,1,1,1,0.771988780473742,0.620641013518322
26,0.475458511028012,0,0.851235346713695,1,0.360991579263419,0.385252912486914,0.170144408829979
27,0.554579566747604,0,1,1,1,0.864977950889848,0.641189877567536
28,0.462321937944671,0,1,1,0.446175312014481,0.624318009699746,0.385815847037138
29,0.517087830551199,0,1,1,0.812284020209482,1,0.628744432472926
30,0.602588029015769,0.264258961751471,0.740828290339252,1,0.580091319702727,0.852432085975251,0.372391790346524
31,0.384318967594473,0,1,1,0.0972383669771708,0.979322581273922,1
32,0.438507954786127,0,1,1,0.105369562062171,0.734494927862173,0.12786061847746
33,0.437870469994794,0,1,1,0.105369562062171,0.734494927862173,0.12786061847746
34,0.497333223090474,0.13405483942984,0.934486668851257,1,0.485792962045248,0.870614845163854,0.444800996513346
35,0.397911873751057,0.746047761747889,1,1,0.449036048653257,0.900564752619158,0.538219673703259
36,0.46729411998586,0.229545904520234,0.975722174251279,1,0.291800076757348,0.877326311564295,0.326171011510702
37,0.528858266064258,0,0.855049938177992,1,1,0.506603257515938,0.515811245709117
38,0.490396632005645,0.000524754907720699,1,1,0.603766175537698,0.243433972297828,0.272596599316887
39,0.416751851915904,0.36412291315902,1,1,1,0.419291076588954,0.656715778505174
40,0.621606203656849,0.523981577133961,0.960316755149029,1,0.961084640669159,1,0.539143719626237
41,0.374490834575415,0.273558974680285,1,0.987525083060463,0.885224951210237,0.159408457678163,0.832146805118103
42,0.401104349695493,0.125819959554599,1,1,0.81113976765891,0.468275781701107,0.658201022378336
43,0.44417404440232,0.155378139511019,1,0.994538285271317,0.658561557944343,0,0.779518245280811
44,0.567705332371844,0.858421157022793,0.962893744594576,1,0.634762947707457,1,0.496561115643959
45,0.429397961758947,0.862779670458344,1,1,0.857698543642007,0.341790750493509,0.746459350041892
46,0.725911248720779,0.815576580948194,1,0.837513134776324,0.808411434383259,0,0.762665662352584
47,0.438468860437837,0.996452494300281,1,1,1,0.368045547180901,1
48,0.40995633430185,0.972363589029815,1,0.984590324297711,0.704975656809534,0.474455808793503,0.644066177819671
49,0.569248772850494,1,0.82507383438525,1,0.786104218332785,1,0.45620271589498
50,1.25123589523755,1,1,1,1,1,0.439245980716636
51,0.46725420576762,1,1,1,1,0.184939484161853,0.755535048759263
52,0.436583256809603,1,1,1,0.111403353754174,0.427144612546931,1
53,0.52584557374046,1,0.961753389265956,0.982376762386007,0.0711960106269036,0.21385438036158,0.678692401495379
54,0.427437235357101,1,1,1,0.326099539802763,0.954500857105047,1
55,0.659445814022557,1,0.966162926833191,1,1,0.344700776101775,0.630030565000723
56,0.728274496640356,1,0.966162926833191,1,1,0.344700776101775,0.630030565000723
57,0.637464889390972,0.872692522608142,1,1,0.62624476156662,0.125310893240035,0.562649887934992
58,0.486043720727763,1,1,1,0.326099539802763,0.954500857105047,1
59,0.898541863479236,1,1,1,0.777477728830933,1,0.234589686799667
60,0.846799137806193,1,0.967653980062482,1,1,0.305256332127025,0.563802004942455
61,0.820311424825985,1,1,1,1,0.291687555513978,0.6961699134506
62,1.01727364595779,0.965298189372729,0.993608079998295,1,0.613726003872677,0.492331594147358,0.189631331565204
63,0.476039394259864,0.9749296625218,1,1,0.21111698313993,0.884379286311251,1
64,0.8383994379545,0.757006562517943,1,1,1,0,0.661339490316332
65,0.880397951328597,0.939641876244777,1,1,1,0.878309647234786,0.495996270562798
66,0.874981824808079,0.993693138302891,1,0.985235286729608,1,0.774123575592976,0.34984005001237
67,0.759135791777923,0.889593033110706,1,1,0.79228136735088,0.107051606852534,0.559446343383237
