Generation,Fitness,P1_Queen,P1_King,P1_Ace,P2_Queen,P2_King,P2_Ace
0,-608.91402838428,0.822694118374301,0.755238138683541,1,0.649950035656265,1,1
1,-421.693215339233,0.538021064348271,1,0.803362046326706,0.513605875525609,1,1
2,-542.358037856572,0.538021064348271,1,0.803362046326706,0.513605875525609,1,1
3,-396.11373204143,0.368708574789766,0.565490624628532,0.989495318275652,0.598755130417102,0.624418905027587,1
4,-251.066976744186,0.00457248007778527,0.393602688049928,0.959978263059308,0.469307519618176,0.745174759936745,1
5,-302.422574533852,0.00457248007778527,0.393602688049928,0.959978263059308,0.469307519618176,0.745174759936745,1
6,-329.42899014122,0,0.598679590330786,1,0.293456333823342,0.522317203496896,1
7,-276.211510536568,0,0.389322848160069,1,0.289100165277266,0.534755311100979,1
8,-292.054763989493,0.298759883670949,0.307452537346441,0.865017811552928,0,0.36959829604164,0.832816043103258
9,-254.863249608604,0,0,0.946705974176464,0.131225610538082,0.634032121901573,0.819630513831062
10,-256.400879980445,0,0,0.946705974176464,0.131225610538082,0.634032121901573,0.819630513831062
11,-292.405120327701,0.747675142240075,0.0289549255335084,1,0,0.579048574309716,0.99144429767427
12,-232.853686250919,0.151116537795579,0.0350825683082259,1,0,0.341717569311924,0.949119445333319
13,-226.918336823213,0.151116537795579,0.0350825683082259,1,0,0.341717569311924,0.949119445333319
14,-235.85906401291,0.170971752700381,0.193656497669166,1,0,0.17098947114153,0.811746591884181
15,-215.80005648122,0.141829497092947,0.290422904457195,1,0.00213230791936139,0.104606125588242,1
16,-225.195919115401,0,0,1,0.0683701067444907,0,0.948464852056216
17,-220.34363541121,0.146414298150494,0.256178904143471,0.456057571933198,0,0.0880993677502085,1
18,-223.035951479225,0.180911118329681,0.189113208722046,0.770659862526866,0,0,1
19,-244.543882344931,0.297177619606372,0.0161317948148437,0.960245589015074,0,0.451862299408263,1
20,-207.638129211256,0,0,0.771983308175006,0,0.124888408294085,1
21,-187.133673069385,0.0735476623807259,0,0.476485926129445,0,0,1
22,-234.343492063492,0,0.0533888382588815,0.946395265281577,0,0.0514953385722179,1
23,-230.873630649506,0,0,0.952737954941818,0,0,1
24,-251.797297297297,0.375030263663406,0,1,0,0.245159835136772,0.98532375071288
25,-231.295350957156,0.375030263663406,0,1,0,0.245159835136772,0.98532375071288
26,-203.286375494404,0.111326282224978,0,0.859306862485053,0,0,0.965357073624277
27,-217.722078816039,0,0,1,0.00636648127205296,0.0825298725791042,1
28,-261.532528730105,0.544771476234472,0,1,0,0.0669962840515004,1
29,-244.77694982613,0.849249512594716,0.0220613700858214,0.750738118574949,0.016539798772847,0.543273163834499,1
30,-216.961322614895,0.308071347373517,0,0.985506571139589,0,0,1
31,-230.046521181001,0.099472547725766,0,1,0,0.24461216897099,1
32,-252.764522821577,0.421513676119049,0,1,0,0.193027649484457,1
33,-194.378063319645,0.159554481544398,0,0.868541286453464,0,0,1
34,-233.78924481809,0.254050560461327,0,0.771318234725344,0,0,1
35,-201.28868385346,0.2721193848892,0,0.925732668199482,0,0,1
36,-254.492495464292,0.247371031610809,0.0225578439338739,0.888314665606466,0,0.183842375730977,1
37,-201.354881129529,0,0,0.777666322765575,0,0.0314318594819133,1
38,-140.678192972672,0.409671775829839,0,1,0,0,1
39,-241.142168093573,0.271655418767929,0,1,0,0.246260680483814,1
40,-239.325407309555,0.228572643507374,0,1,0.0325814176791332,0.251291181828113,1
41,-240.100809125879,0.458522028302793,0,1,0.19262751441698,0,1
42,-241.210163749294,0.437288675916871,0,0.969370129115447,0,0,1
43,-213.953121498678,0,0,1,0.000187600368803173,0.165005435303166,1
44,-221.359048965001,0.252412440030791,0,1,0,0.325544442836943,1
45,-217.126969416126,0.288928517905556,0,1,0,0,1
46,-218.68152866242,0.0215560009236483,0,1,0,0,1
47,-231.327232565478,0.250073316921859,0,1,0,0.25920841190372,1
48,-201.278557114228,0.0109566608799101,0,1,0,0.222508433869154,0.990394690791506
49,-180.82837882639,0.187852709453756,0,1,0,0.0528076828206253,1
50,-245.48853962017,0.34552590065648,0.00957409633118009,1,0,0.125968109364116,1
51,-264.106331168831,0.354522548578161,0,0.972881487251398,0.0277958722394264,0.0375088434003341,1
52,-173.082593981524,0.604768352050956,0,1,0,0.1396030233414,1
53,-223.350583090379,0.305433208795395,0,1,0,0,1
54,-263.449823343458,0.340568734944009,0,1,0,0.206125805919433,1
55,-232.515824279641,0.604995402912496,0,1,0,0.287460983428044,1
56,-229.886248498459,0,0.0899413525534844,0.931402222227854,0,0,0.976515606378434
57,-239.502915451895,0.375244037830881,0,0.9472803109946,0,0.335844948563985,0.993362589358582
58,-217.625521303581,0,0,1,0,0,0.994121340103515
59,-220.460625247329,0,0,0.866647442111453,0,0,1
60,-250.809469823274,0.445888764905167,0,1,0,0,1
61,-199.507533573534,0,0,1,0,0,0.994121340103515
62,-247.281252099147,0.538750209558482,0,1,0,0.39864476201306,1
63,-260.544409718722,0.395378603194595,0,1,0,0,1
64,-239.526745414386,0.395378603194595,0,1,0,0,1
65,-242.075338753388,0.42445620426341,0,1,0,0,1
66,-259.185563338478,0.575990934226963,0,1,0,0.351972040942366,1
67,-264.363348157281,0.553025721156971,0.0134235040570983,1,0,0.392985326122463,1
68,-213.646572252162,0.0459260807218131,0.0747976820960166,0.998267693595184,0,0,1
69,-219.513911463811,0.0753950936647791,0,0.974984428481658,0,0,1
70,-248.38868101029,0.485218107796657,0,1,0,0.500760129874462,1
71,-227.012109623964,0.0753950936647791,0,0.974984428481658,0,0,1
72,-252.437604301873,0.575990934226963,0,1,0,0.351972040942366,1
73,-228.618996798292,0.28535202800618,0.0336731965053953,0.958459138986028,0,0.188330040147415,1
74,-263.677921092564,0.537524944863967,0,1,0,0.238309135340246,1
75,-229.83339356704,0.383762977260814,0,1,0,0.349445551296477,1
76,-223.525728917155,0.309847292173171,0,0.982716068948877,0,0.376025837810907,0.983696663305338
77,-203.142288821111,0.0252382347656164,0,0.998887524406132,0,0.214713814415325,1
78,-237.334142824619,0.061921276422563,0,0.972576441174256,0.0355132640692695,0.000125658164983762,1
79,-239.566265060241,0.0252382347656164,0,0.998887524406132,0,0.214713814415325,1
80,-256.974896093101,0.0412846211430876,0,1,0,0.630321085082864,1
81,-246.782710622711,0.409447964207038,0,0.92274245415427,0,0.34492400357414,1
82,-222.671594508976,0.81302924155818,0.0698482934283212,0.906577157166279,0,0,1
83,-243.606191275929,0.434750007269053,0,1,0.049245651926095,0.089666357350359,1
84,-242.811518764168,0.0304891929615995,0.0295166801660701,1,0,0.127986505960442,1
85,-221.483137293182,0.139748025366183,0,0.545500442083796,0,0.121056670919968,1
86,-189.102573042326,0.0750435617930715,0,0.795939332966436,0.113928984025683,0,1
87,-242.447496677005,0.688929059425008,0,1,0,0.234213886612928,1
88,-199.91983706721,0.0912008323534705,0,0.967290655919244,0.113266272008039,0.0119772460104973,1
89,-220.162141850634,0,0,1,0,0.353342785432275,1
